,alpha,mu,omega,logposterior
59,0.041850712,1.0497394,0.6591283,-1967.389404296875
60,0.042037446,1.0390478,0.6492589,-1967.4375
61,0.042037446,1.0390478,0.6492589,-1966.65380859375
62,0.042037446,1.0390478,0.6492589,-1967.5762939453125
63,0.042156495,1.0271515,0.6364764,-1968.4520263671875
64,0.04193712,1.0269656,0.644487,-1967.4945068359375
65,0.041685853,1.0195489,0.6456887,-1967.7742919921875
66,0.041685853,1.0195489,0.6456887,-1968.7825927734375
67,0.041882217,1.028283,0.64372355,-1967.3740234375
68,0.041539,1.0299925,0.6422744,-1966.9786376953125
69,0.0412791,1.0277332,0.62968934,-1969.109619140625
70,0.0412791,1.0277332,0.62968934,-1967.982421875
71,0.041403677,1.0418142,0.62586856,-1969.11474609375
72,0.04154534,1.036036,0.6261937,-1970.24267578125
73,0.04138839,1.0349758,0.620079,-1971.2576904296875
74,0.042289857,1.0212326,0.60642314,-1975.3773193359375
75,0.04248862,1.027262,0.6046581,-1976.6988525390625
76,0.042971775,1.0255673,0.62276316,-1972.6541748046875
77,0.043493386,1.0350636,0.6249328,-1972.3818359375
78,0.04434426,1.0323585,0.6342849,-1971.413330078125
79,0.04434426,1.0323585,0.6342849,-1971.21826171875
80,0.044035852,1.0275561,0.6336546,-1971.9188232421875
81,0.044035852,1.0275561,0.6336546,-1970.8712158203125
82,0.044035852,1.0275561,0.6336546,-1972.5537109375
83,0.044035852,1.0275561,0.6336546,-1971.8544921875
84,0.043646857,1.0323094,0.6276392,-1972.92138671875
85,0.043646857,1.0323094,0.6276392,-1971.5743408203125
86,0.043646857,1.0323094,0.6276392,-1971.6402587890625
87,0.043646857,1.0323094,0.6276392,-1971.890869140625
88,0.043646857,1.0323094,0.6276392,-1971.5179443359375
89,0.043646857,1.0323094,0.6276392,-1971.958251953125
90,0.043646857,1.0323094,0.6276392,-1972.3831787109375
91,0.04350838,1.0282174,0.6374868,-1970.0809326171875
92,0.0432818,1.0385852,0.6434285,-1968.6435546875
93,0.042720817,1.0473173,0.6452986,-1967.7257080078125
94,0.043084208,1.0417712,0.65370023,-1969.1630859375
95,0.043084208,1.0417712,0.65370023,-1967.7523193359375
96,0.043084208,1.0417712,0.65370023,-1969.70751953125
97,0.04277464,1.0467824,0.63979757,-1970.417724609375
98,0.04243904,1.0395794,0.6460891,-1968.4141845703125
99,0.04313947,1.0503502,0.6433859,-1969.162841796875
100,0.04319531,1.0467734,0.63977474,-1969.6502685546875
101,0.043645233,1.0433211,0.64005864,-1969.7384033203125
102,0.042818237,1.0499427,0.6566446,-1966.9365234375
103,0.04355053,1.0413842,0.6480065,-1968.59765625
104,0.043125853,1.0437711,0.6495166,-1968.7977294921875
105,0.043125853,1.0437711,0.6495166,-1968.563720703125
106,0.043125853,1.0437711,0.6495166,-1968.260498046875
107,0.043125853,1.0437711,0.6495166,-1969.0623779296875
108,0.041765887,1.0352265,0.66284305,-1966.19580078125
109,0.04136223,1.0315087,0.65297014,-1965.77734375
110,0.04136223,1.0315087,0.65297014,-1967.332275390625
111,0.04136223,1.0315087,0.65297014,-1967.1341552734375
112,0.041149445,1.0326484,0.65596604,-1968.5255126953125
113,0.041313384,1.0318701,0.66894376,-1975.483642578125
114,0.041313384,1.0318701,0.66894376,-1975.04296875
115,0.04186588,1.051518,0.6645009,-1966.4571533203125
116,0.04234845,1.0570462,0.64600843,-1967.118896484375
117,0.043104608,1.0325985,0.64770985,-1967.8104248046875
118,0.04316312,1.0359749,0.6613531,-1967.3121337890625
119,0.04316312,1.0359749,0.6613531,-1970.252197265625
120,0.04396969,1.0203496,0.65295565,-1969.0272216796875
121,0.04345287,1.0234743,0.64680994,-1968.732177734375
122,0.044347927,1.0301293,0.6508506,-1969.5626220703125
123,0.044347927,1.0301293,0.6508506,-1968.8121337890625
124,0.045029484,1.0312924,0.65484065,-1973.179443359375
125,0.045274105,1.0420637,0.66048104,-1970.1441650390625
126,0.045274105,1.0420637,0.66048104,-1973.525634765625
127,0.04550298,1.0453308,0.6513988,-1970.279541015625
128,0.04550298,1.0453308,0.6513988,-1970.8184814453125
129,0.0464724,1.0513245,0.6528052,-1970.3409423828125
130,0.045946192,1.0597193,0.6591046,-1970.85107421875
131,0.045071736,1.0509824,0.6600447,-1967.7979736328125
132,0.04486934,1.040757,0.6525747,-1970.5560302734375
133,0.04486934,1.040757,0.6525747,-1971.5015869140625
134,0.04486934,1.040757,0.6525747,-1972.6383056640625
135,0.04486934,1.040757,0.6525747,-1969.0020751953125
136,0.04524964,1.0447084,0.64445996,-1971.4056396484375
137,0.045153327,1.0525209,0.6511886,-1968.604248046875
138,0.045027036,1.0413786,0.6499698,-1970.2724609375
