idx,alpha,mu,omega,loglike
204,0.01,0.72,0.19230769230769232,1.4203992936756355e+21
205,0.01,0.72,0.23076923076923078,1.4203992936756355e+21
206,0.01,0.72,0.2692307692307693,1.4203992936756355e+21
207,0.01,0.72,0.3076923076923077,1.4203992936756355e+21
208,0.01,0.72,0.34615384615384615,1.4480694097861998e+21
209,0.01,0.72,0.38461538461538464,1.4480694097861998e+21
210,0.01,0.72,0.42307692307692313,1.4480694097861998e+21
211,0.01,0.72,0.46153846153846156,1.4203992936756355e+21
212,0.01,0.72,0.5,1.4203992936756355e+21
213,0.01,0.72,0.5384615384615385,1.4203992936756355e+21
214,0.01,0.72,0.576923076923077,1.4203992936756355e+21
215,0.01,0.72,0.6153846153846154,1.4203992936756355e+21
216,0.01,0.72,0.6538461538461539,1.4480694097861998e+21
217,0.01,0.72,0.6923076923076923,1.4203992936756355e+21
218,0.01,0.72,0.7307692307692308,1.4480694097861998e+21
219,0.01,0.72,0.7692307692307693,-inf
220,0.01,0.72,0.8076923076923077,-inf
221,0.01,0.72,0.8461538461538463,-inf
222,0.01,0.72,0.8846153846153847,-inf
223,0.01,0.72,0.9230769230769231,-inf
224,0.01,0.72,0.9615384615384616,-inf
225,0.01,0.8,0.038461538461538464,1.4203992936756355e+21
226,0.01,0.8,0.07692307692307693,1.4203992936756355e+21
227,0.01,0.8,0.11538461538461539,1.4480694097861998e+21
228,0.01,0.8,0.15384615384615385,1.4203992936756355e+21
229,0.01,0.8,0.19230769230769232,1.4203992936756355e+21
230,0.01,0.8,0.23076923076923078,1.4203992936756355e+21
231,0.01,0.8,0.2692307692307693,1.4203992936756355e+21
232,0.01,0.8,0.3076923076923077,1.4203992936756355e+21
233,0.01,0.8,0.34615384615384615,1.4203992936756355e+21
234,0.01,0.8,0.38461538461538464,1.4203992936756355e+21
235,0.01,0.8,0.42307692307692313,1.4480694097861998e+21
236,0.01,0.8,0.46153846153846156,1.4203992936756355e+21
237,0.01,0.8,0.5,1.4203992936756355e+21
238,0.01,0.8,0.5384615384615385,1.4203992936756355e+21
239,0.01,0.8,0.576923076923077,1.4203992936756355e+21
240,0.01,0.8,0.6153846153846154,1.4480694097861998e+21
241,0.01,0.8,0.6538461538461539,1.4203992936756355e+21
242,0.01,0.8,0.6923076923076923,1.4203992936756355e+21
243,0.01,0.8,0.7307692307692308,1.4480694097861998e+21
244,0.01,0.8,0.7692307692307693,1.4480694097861998e+21
245,0.01,0.8,0.8076923076923077,-inf
246,0.01,0.8,0.8461538461538463,-inf
247,0.01,0.8,0.8846153846153847,-inf
248,0.01,0.8,0.9230769230769231,-inf
249,0.01,0.8,0.9615384615384616,-inf
250,0.01,0.88,0.038461538461538464,1.4203992936756355e+21
251,0.01,0.88,0.07692307692307693,1.4203992936756355e+21
252,0.01,0.88,0.11538461538461539,1.4203992936756355e+21
253,0.01,0.88,0.15384615384615385,1.4203992936756355e+21
254,0.01,0.88,0.19230769230769232,1.4203992936756355e+21
255,0.01,0.88,0.23076923076923078,1.4203992936756355e+21
256,0.01,0.88,0.2692307692307693,1.4203992936756355e+21
257,0.01,0.88,0.3076923076923077,1.4203992936756355e+21
258,0.01,0.88,0.34615384615384615,1.4203992936756355e+21
259,0.01,0.88,0.38461538461538464,1.4203992936756355e+21
260,0.01,0.88,0.42307692307692313,1.4203992936756355e+21
261,0.01,0.88,0.46153846153846156,1.4203992936756355e+21
262,0.01,0.88,0.5,1.4203992936756355e+21
263,0.01,0.88,0.5384615384615385,1.4203992936756355e+21
264,0.01,0.88,0.576923076923077,1.4480694097861998e+21
265,0.01,0.88,0.6153846153846154,1.4203992936756355e+21
266,0.01,0.88,0.6538461538461539,1.4203992936756355e+21
267,0.01,0.88,0.6923076923076923,1.4480694097861998e+21
268,0.01,0.88,0.7307692307692308,1.4203992936756355e+21
269,0.01,0.88,0.7692307692307693,1.4203992936756355e+21
270,0.01,0.88,0.8076923076923077,-inf
271,0.01,0.88,0.8461538461538463,-inf
272,0.01,0.88,0.8846153846153847,-inf
273,0.01,0.88,0.9230769230769231,-inf
274,0.01,0.88,0.9615384615384616,-inf
275,0.01,0.96,0.038461538461538464,1.4203992936756355e+21
276,0.01,0.96,0.07692307692307693,1.4203992936756355e+21
277,0.01,0.96,0.11538461538461539,1.4203992936756355e+21
278,0.01,0.96,0.15384615384615385,1.4480694097861998e+21
279,0.01,0.96,0.19230769230769232,1.4203992936756355e+21
280,0.01,0.96,0.23076923076923078,1.4203992936756355e+21
281,0.01,0.96,0.2692307692307693,1.4203992936756355e+21
282,0.01,0.96,0.3076923076923077,1.4203992936756355e+21
283,0.01,0.96,0.34615384615384615,1.4203992936756355e+21
284,0.01,0.96,0.38461538461538464,1.4203992936756355e+21
285,0.01,0.96,0.42307692307692313,1.4203992936756355e+21
